"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,47.7684688667075,5.24054800495448
"2",2022-03-08 00:00:05,1,303,100,48.6306772523221,5.04785458579653
"3",2022-03-08 00:00:10,1,303,100,47.8067071022768,4.90368559027763
"4",2022-03-08 00:00:15,1,303,100,48.6382952110051,4.756689215514
"5",2022-03-08 00:00:20,1,303,100,48.2840142936468,4.6431404123053
"6",2022-03-08 00:00:25,1,303,100,48.3474462864894,5.24239469434075
"7",2022-03-08 00:00:30,1,303,100,49.0128376002746,5.42192850996827
"8",2022-03-08 00:00:35,1,303,100,48.988655812043,5.24614978953332
"9",2022-03-08 00:00:40,1,303,100,47.2538138838261,4.97632779064606
"10",2022-03-08 00:00:45,1,303,100,47.1152444812224,5.15319981998155
"11",2022-03-08 00:00:50,1,303,100,48.5000729059536,5.02361959801379
"12",2022-03-08 00:00:55,1,303,100,48.1234970861048,5.07999342457575
"13",2022-03-08 00:01:00,1,303,100,47.7444585494711,4.96081871613258
"14",2022-03-08 00:01:05,1,303,100,48.4323150898752,5.10925721761916
"15",2022-03-08 00:01:10,1,303,100,48.4390272585161,5.03683477518701
"16",2022-03-08 00:01:15,1,303,100,48.3521860283152,4.8817907216956
"17",2022-03-08 00:01:20,1,303,100,49.1976104908057,5.1371093990524
"18",2022-03-08 00:01:25,1,303,100,48.8076117871468,4.837381167558
"19",2022-03-08 00:01:30,1,303,100,49.1905544248858,5.50411071987495
"20",2022-03-08 00:01:35,1,303,100,49.2698591902794,5.2553417332043
"21",2022-03-08 00:01:40,1,303,100,47.4269863711316,5.16513532834704
"22",2022-03-08 00:01:45,1,303,100,48.1708100767055,5.35496050700776
"23",2022-03-08 00:01:50,1,303,100,48.4748595760018,5.24761236430115
"24",2022-03-08 00:01:55,1,303,100,48.4286845792306,5.26823110803187
"25",2022-03-08 00:02:00,1,303,100,49.0245718941581,5.19265374067922
"26",2022-03-08 00:02:05,1,303,100,48.6713730677865,5.30393822328451
"27",2022-03-08 00:02:10,1,303,100,48.9134436249203,4.78476814747182
"28",2022-03-08 00:02:15,1,303,100,47.9316767926864,5.22574508981792
"29",2022-03-08 00:02:20,1,303,100,47.5981048713249,4.80777932892556
"30",2022-03-08 00:02:25,1,303,100,48.3985701378771,4.87903606497937
"31",2022-03-08 00:02:30,1,303,100,47.6801680000671,4.8877095245201
"32",2022-03-08 00:02:35,1,303,100,48.322614511498,5.02978502256998
"33",2022-03-08 00:02:40,1,303,100,49.1525219549301,5.06560675150824
"34",2022-03-08 00:02:45,1,303,100,47.8701153597356,5.24699732943963
"35",2022-03-08 00:02:50,1,303,100,47.9935723728798,5.04776581932067
"36",2022-03-08 00:02:55,1,303,100,48.1709287081216,5.14028766959421
"37",2022-03-08 00:03:00,1,303,100,49.4874400612853,5.02148692635951
"38",2022-03-08 00:03:05,1,303,100,48.6394812393308,5.17046124551967
"39",2022-03-08 00:03:10,1,303,100,48.9292580852725,4.98278535085418
"40",2022-03-08 00:03:15,1,303,100,48.3150722697536,5.01196626460584
"41",2022-03-08 00:03:20,1,303,100,48.4327377170522,5.4311409622721
"42",2022-03-08 00:03:25,1,303,100,48.5912961964852,5.15850362696971
"43",2022-03-08 00:03:30,1,303,100,48.4745130527219,4.97861791818309
"44",2022-03-08 00:03:35,1,303,100,48.1580521074899,5.34577420887726
"45",2022-03-08 00:03:40,1,303,100,48.7076391195535,5.05922416529367
"46",2022-03-08 00:03:45,1,303,100,48.6775593367009,5.14739252029173
"47",2022-03-08 00:03:50,1,303,100,48.481782066096,4.65888347876981
"48",2022-03-08 00:03:55,1,303,100,48.5110860814097,4.96334521054622
"49",2022-03-08 00:04:00,1,303,100,48.7742162363853,4.95844256762125
"50",2022-03-08 00:04:05,1,303,100,48.8013857997114,4.8359496015744
